Id,Title,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
B000PBZH5M,Foundation,,A3PWVZRIHDMLXF,madlie,1/1,5.0,1252540800,Awesome,"The Foundation is a series of books about two Foundations at the end of the Galaxy, at the rotting fringes of the Galactic Empire. Psychohistorian Hari Seldon has predicted the fall of the Galactic Empire, and 30,000 years of barbarism that will follow. The Foundations are established at two opposite edges of the Galaxy, little settlements that contain all human knowledge. The problem is that there are certain crises that the Foundations must overcome, with as little guidence from Seldon as possible.This was the first Asimov book I've ever read, so I didn't know really what to expect. I found I loved it! It was full of interesting characters, and each novelette showed a different point of time in the Foundation, so instead of slowly going through each year in the 1000 years of barbarism, you actually get somewhere. The characters had pros and cons to them, and seemed well rounded. It also showed a change in character through time, such as characters that were once sharp become dull and characters that used to rebel fall in line. Instead of telling you all about the character on the first page, it gave a general idea and then let the story tell the characters. One part I really liked was that it had plot twists that I didn't see coming, and the plot wasn't completely transparent.In the end, this book was a very interesting sci-fi novel that kept me going, and held my interest until the end."
1574883232,Baseball Prospectus: 2001 Edition,,AQQLWCMRNDFGI,Steven A. Peterson,11/12,5.0,1204329600,Good start to the 2008 baseball season!,"The new baseball season will soon be upon us, with hope breaking out all over. Those of us who are Chicago White Sox fan see our team starting off even with every other time and hope abounding. What will the season hold? Only 162 games will tell us.This book is one of those compendia that come out each year, providing information on major league baseball players. This has a sabermetric element to it, so those who love statistics will enjoy this work.There are some nice features, including a listing of the top 100 prospects this season, how base running turns into runs, projected leaders in a variety of categories (e.g., they project Ryan Howard to lead in home runs with 44, Albert Pujols to lead in batting average with .327, Jose Reyes to lead in stolen bases with 60, etc.).Those projections are based on a technique called PECOTA, in which players are equated with many other players--past and present--with similar characteristics. Then, that data base is used to project how well the particular contemporary player is likely to do this year. As an example, let's take a look at one team, the White Sox. Many of the Sox' key players are aging, and projections suggest declining performance among such stalwarts as Jim Thome and A. J. Pierzynski. Paul Konerko and Jermaine Dye, on the other hand, are projected to perform in similar fashion to 2007. By the way, one of the nice features is that each player is compared to those whose career statistics define PECOTA. For instance, comparables to Joe Crede include Dave Roberts, Kevin Orie, Tim Wallach, and Tim Hulett. Just looking at comparables is fun! Jermaine Dye is equated with Dave Henderson, Joe Adcock, Jose Canseco, and Juan Gonzalez. Pretty good company (at least for statistics). Paul Konerko is compared with Kevin Millar, Gil Hodges, Jeff Conine, and Eric Karros. The mainstay of the pitching staff, Mark Buehrle, is linked to Ken Holtzman (the old Cubbie!), Greg Swindell, Jim Abbott, and Curt Simmons.Enough comparisons. Another statistic is called VORP, value over replacement player. This statistic is created by assuming that a particular player would be removed from the lineup and replaced by someone of proven quality (the details are too lengthy to be presented in a line or two). The resulting figures are then used to estimate players who will rise and who will decline this coming year. White Sox fans might want to shiver a bit. Mark Buehrle is one of the projected 15 players who will decline the most.A couple other figures to illustrate what the book provides. Jim Thome is expected to see his home run total decline from 35 to 29 and his RBIs from 96 to 79. If you're curious, by the way, his comparator players include Frank Thomas, Willie McCovey, Darrell Evans, and Cliff Johnson--some pretty good company!Anyhow, this is a book that will be a lot of fun for baseball fans. It's a good way to start preparing for the new baseball season!"
0936783435,Stayin' Alive: Armed and Female in an Unsafe World,10.06,A37HI9COYO4IA0,Dudley Davis,4/12,2.0,1178928000,Maybe good for beginners,"Paxton Quigley's book is a compliation of parts of other books on firearms self protection. It's a bit overdone, and probably would scare the average woman thinking about protecting herself. Women seem to have special problems protecting themselves. They usually do not want to hurt anyone, and they will do all most anything for a baby or a family member before they will do anything to protect themselves. However, women that are able to continue to practice with a hand gun, usually become quite proficent. They know that they don't know, and they listen to instructions. Most men think they know it all already."
0226143066,The Gift of Death (Religion and Postmodernism Series),,ALFIKX6PM47EY,Kallionsivu Mikko,2/3,3.0,1217203200,Killing the son.,"The deconstruction of Christianity plus some extent also Jewish and Islamic thinking from the point of view of gift or symbolic exchange is an interesting topic. Especially the core of Derrida's analysis, how to interpret -- or to deconstruct, depending your own stance -- the story of Binding of Isaac, is insightful. One could also use it as a masterful, more or less isolated close-reading of an enigmatic story.I also liked the general idea that morality is always based on shortcomings and that the monotheistic religions try to evade this impossibility of total ethicalness by totally merging the ultimate other (the God, the permanently unknowable) within the very core of the self.The Gift of Death is short book and not easy to read. I read it as a critique of monotheism, of 'monomanic' ethics that are based on surrendering yourself to an absolute and thus to monotony, monomania, monology and singularity (as opposite to generality). If this indeed what Derrida is saying, it is not as original as the idea of deconstructing religion seem to promise. But, as always -- with Derrida it is not so much what he says, but HOW he says it. Unlike Heidegger, for instance, this is also FUN to read.A good dose of poetry makes any give subversive morality more interesting. In the words of Bob Dylan, ""Don't follow leaders, watch the parking meters."" I do both and it seems that in introducing multiple levels of simultaneous, symbolic exchange paradigms Derrida does, too."
0316099066,Dr. Bernstein's Diabetes Solution: The Complete Guide to Achieving Normal Blood Sugars Revised & Updated,,A8BCRTXQGY4N6,Jocelyne Slough,15/18,5.0,1097366400,Must Check Thyroid,"I got Dr. Bernstein's book for my husband, a Type 2 diabetic. It has helped him enormously. I have used it, along with Atkins' books, to help both of us lose weight. Dr. Atkins' books stress that you MUST check your basal body temperature before and during a low-carb diet, to make sure that your thyroid levels are normal, and remain normal. Low thyroid levels will cause weight gain, high cholesterol, and higher blood sugar. Both my husband and I have thyroid problems, which CAN be exacerbated by a low-carb diet. Sometimes you will know you have a problem when you feel cold a lot. The solution can be as simple as exercising, taking thyroid supplements, slightly increasing your carb intake, or a combination of all three.Lower carbs WILL decrease your total cholesterol, and dramatically decrease your triglycerides. As a personal example, several weeks ago, after a stressful summer, I had a total cholesterol reading of 204. I went on a lower-carb diet for 2 weeks, and then donated blood. My total cholesterol then was 154, a drop of 50 points in 2 weeks. By the way, if you donate blood every 2 months, you will get a mini-physical each time, including total cholesterol, to help keep you on the straight and narrow road while dieting."
0451210522,The Sopranos: A Family History --Season 4 (Revised and Updated),22.0,A1DLZJ1KPW8OL,"Mary Francis Benedict ""Eclectic Reader""",2/3,5.0,1174003200,Great fun . . .,"A light-hearted and fun romp through the lives (including some childhoods) of major Sopranos characters. Wonderful pictures, too. If you enjoy the human aspect of the series, this book is for you."
B000GKR7V4,Scary Stories to Tell in the Dark,,,,2/2,5.0,1166572800,"A Funny, Scary Book","I chose this book because I think its one of the best books I've read because it's funny and scary. The author's name is Alvin Schwartz. He has written Scary Stories to Tell in the Dark,More Scary Stories to Tell in the Dark and Scary Stories: 3 More Tales to Chill You're Bones. I've read each of them at least three times. I think you should read this book and hopefully you'll like it as much as I do. It has a lot of short and scary stories. It is one of those books you never get bored of.by Alexandra"
B000PVKWH0,Mothman Prophecies,,A1QLJQCTVJAZFE,John C. Sherwood,5/11,2.0,1033084800,There is more to this story ...,"I am the author of an article for ""The Skeptical Inquirer"" about the origins of ""The Mothman Prophecies."" The article, which appeared in the May/June 2002 issue, also may be read at the CSICOP web site.There, I describe the highly dubious role Gray Barker played in the background during the events surrounding this now-well-known West Virginia case. Barker was responsible for at least one telephone call (and possibly more) to John A. Keel and others in an attempt to generate interest in the Mothman and UFO accounts that were rampant at the time.Those who wonder what to believe about ""The Mothman Prophecies"" will gain greater insight into the situation by reading this article -- but only if they truly wish to understand that there is indeed ""more to the story."""
0312283970,The Man Who Talks to Dogs: The Story of America's Wild Street Dogs and Their Unlikely Savior,,A1Z8LGIPZDWNZD,Mary E. Hyland,10/10,5.0,1051142400,Heroic Tails,"Randy Grim hates being called a hero. He feels like a fake when people use that term to describe him because, in his eyes, he's a frail and fearful person, full of complexities and issues. It takes all his energy to face life's challenges but, for some reason, it all changes when he's on the trail of a dog that needs his help. Then he's a fully focused, driven machine that will wade through filth, skid along icy, dark streets and face down the roughest, toughest people to accomplish his task. He can't and he won't leave that canine alone on the street.This book is fast paced and fascinating. I was hooked from word one. The author has managed to weave together the story of a fascinating, though reluctant hero with the graphic and gritty reality of the price being paid by the strays in our midst. The author dissects the various causes and brings the tragic results into sharp focus. It is hard to blink, to look away, to pretend it doesn't exist. Those weary, confused eyes stare back from the pages.While we witness the dark side of humanity and it's wretched victims, we are also allowed to share the small and great triumphs that result from Randy's dedication. Many are the hurdles that have to be overcome but, step by step, the right people join the battle, sanctuary is provided, supplies appear and donations arrive.This is how heros and saints come to be. It's the leap of faith that says, ""I don't know whether I'm making a difference. I don't know how I'm going to manage but I will. Because I'm not taking my eye off this one, and the next one, and the next one until they're safe."" One small miracle at a time creates a haven. For the strays, for the people who care and for the children who see that brutality or indifference are not the only choices.Thanks Randy, for showing the way and thanks Melinda, for telling the story so well."
1574900072,The Night Horseman (Sagebrush Largeprint Westerns),,A2BUOVS2AO2N3O,Donna L. Byers,0/1,1.0,1357862400,Did not like at all.,I Just did not like the story line.Ii was not able to get into the story. Didn't even finish the book.
